Date,Open,High,Low,Close,Adj Close,Volume
2021-07-30,0.840900,0.843490,0.839560,0.840831,0.840831,0
2021-08-02,0.842790,0.843200,0.840407,0.842670,0.842670,0
2021-08-03,0.842110,0.843480,0.840619,0.842130,0.842130,0
2021-08-04,0.842520,0.845000,0.840195,0.842500,0.842500,0
2021-08-05,0.844600,0.845320,0.843241,0.844780,0.844780,0
2021-08-06,0.845080,0.850600,0.844900,0.844900,0.844900,0
2021-08-09,0.851000,0.851660,0.849500,0.851100,0.851100,0
2021-08-10,0.851861,0.853920,0.851499,0.851900,0.851900,0
2021-08-11,0.853260,0.854230,0.851290,0.853000,0.853000,0
2021-08-12,0.851640,0.852870,0.850991,0.851651,0.851651,0
2021-08-13,0.852070,0.852440,0.847242,0.852060,0.852060,0
2021-08-16,0.847720,0.849760,0.847200,0.847840,0.847840,0
2021-08-17,0.848900,0.853930,0.848600,0.848900,0.848900,0
2021-08-18,0.854000,0.854930,0.852442,0.853990,0.853990,0
2021-08-19,0.854420,0.856990,0.854200,0.854460,0.854460,0
2021-08-20,0.856400,0.857270,0.855359,0.856414,0.856414,0
2021-08-23,0.854720,0.855022,0.851550,0.854880,0.854880,0
2021-08-24,0.851300,0.852650,0.849990,0.851460,0.851460,0
2021-08-25,0.850700,0.852620,0.850300,0.850840,0.850840,0
2021-08-26,0.849401,0.851220,0.848800,0.849300,0.849300,0
2021-08-27,0.850850,0.852080,0.847200,0.850600,0.850600,0
2021-08-30,0.847460,0.848570,0.846600,0.847529,0.847529,0
2021-08-31,0.847500,0.847710,0.844200,0.847680,0.847680,0
2021-09-01,0.846600,0.847810,0.843170,0.846720,0.846720,0
2021-09-02,0.844430,0.844966,0.842300,0.844530,0.844530,0
2021-09-03,0.842160,0.842590,0.839800,0.842000,0.842000,0
2021-09-06,0.841330,0.843380,0.841300,0.841330,0.841330,0
2021-09-07,0.842180,0.844716,0.841200,0.842100,0.842100,0
2021-09-08,0.844200,0.847230,0.843597,0.844340,0.844340,0
2021-09-09,0.846000,0.847020,0.844500,0.846088,0.846088,0
2021-09-10,0.845770,0.846070,0.843668,0.845600,0.845600,0
2021-09-13,0.846560,0.849574,0.846200,0.846600,0.846600,0
2021-09-14,0.846690,0.847314,0.844096,0.846600,0.846600,0
2021-09-15,0.847200,0.847386,0.845094,0.847100,0.847100,0
2021-09-16,0.846070,0.850940,0.845800,0.846024,0.846024,0
2021-09-17,0.849990,0.852540,0.848200,0.849800,0.849800,0
2021-09-20,0.852600,0.854660,0.852000,0.852520,0.852520,0
2021-09-21,0.852830,0.853540,0.851140,0.852500,0.852500,0
2021-09-22,0.852800,0.853450,0.851460,0.853030,0.853030,0
2021-09-23,0.855510,0.855857,0.850991,0.855600,0.855600,0
2021-09-24,0.851660,0.854580,0.851200,0.851770,0.851770,0
2021-09-27,0.853090,0.855680,0.852660,0.853020,0.853020,0
2021-09-28,0.854990,0.856900,0.854263,0.854935,0.854935,0
2021-09-29,0.855660,0.861320,0.855286,0.855700,0.855700,0
2021-09-30,0.861900,0.864300,0.861200,0.861950,0.861950,0
2021-10-01,0.863990,0.864760,0.861401,0.863970,0.863970,0
